target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-03-11,ema_gap,research-v2,"[5, 24, 32, 37, 43, 44]",23,2,2,2,3,"[24, 43]",0.10704174099639847,0.37410501059883744,22.833333333333332
2020-03-11,v2_statistical,research-v2,"[5, 24, 32, 37, 43, 44]",23,1,1,2,2,[43],0.10705235867572055,0.37676244630291084,24.0
2020-03-14,random,research-v2,"[1, 2, 23, 27, 31, 32]",43,1,1,1,1,[32],0.10745522708565731,0.37177618039435034,34.5
2020-03-14,ema_gap,research-v2,"[1, 2, 23, 27, 31, 32]",43,1,1,2,2,[2],0.10823481015288981,0.375961283487708,26.833333333333332
2020-03-14,v2_statistical,research-v2,"[1, 2, 23, 27, 31, 32]",43,1,1,2,3,[2],0.11014778670816819,0.3836340520325649,23.666666666666668
2020-03-18,random,research-v2,"[7, 8, 9, 12, 14, 36]",28,0,0,0,1,[],0.1074552270839157,0.37177618038624666,35.0
2020-03-18,ema_gap,research-v2,"[7, 8, 9, 12, 14, 36]",28,1,1,2,2,[8],0.11196904634195588,0.3951193165263939,31.666666666666668
2020-03-18,v2_statistical,research-v2,"[7, 8, 9, 12, 14, 36]",28,0,0,0,2,[],0.11804782334205875,0.42545804363564815,31.833333333333332
2020-03-21,random,research-v2,"[6, 11, 22, 36, 37, 44]",10,0,0,1,2,[],0.10745522704314575,0.37177618019654,29.833333333333332
2020-03-21,ema_gap,research-v2,"[6, 11, 22, 36, 37, 44]",10,1,1,1,2,[36],0.11221654997044846,0.39534062859681257,31.833333333333332
2020-03-21,v2_statistical,research-v2,"[6, 11, 22, 36, 37, 44]",10,0,0,0,2,[],0.11750687081353356,0.4169139728659815,32.333333333333336
2020-03-25,random,research-v2,"[3, 19, 31, 38, 45, 47]",48,1,1,2,2,[3],0.10745522702479171,0.3717761801111367,28.0
2020-03-25,ema_gap,research-v2,"[3, 19, 31, 38, 45, 47]",48,0,0,1,2,[],0.11042049991409966,0.38257897642840194,27.333333333333332
2020-03-25,v2_statistical,research-v2,"[3, 19, 31, 38, 45, 47]",48,1,1,3,4,[45],0.10433681427026031,0.3528265505974845,15.666666666666666
2020-03-28,random,research-v2,"[2, 7, 21, 30, 33, 46]",27,1,1,1,2,[46],0.1074552269843757,0.3717761799230771,25.333333333333332
2020-03-28,ema_gap,research-v2,"[2, 7, 21, 30, 33, 46]",27,1,1,1,3,[2],0.10627850240223759,0.3663309274722095,21.333333333333332
2020-03-28,v2_statistical,research-v2,"[2, 7, 21, 30, 33, 46]",27,1,1,1,2,[2],0.10798510225212854,0.3669345473530304,18.5
2020-04-01,random,research-v2,"[4, 6, 10, 13, 25, 49]",41,0,0,0,0,[],0.10745522708995371,0.3717761804143422,36.5
2020-04-01,ema_gap,research-v2,"[4, 6, 10, 13, 25, 49]",41,0,0,0,0,[],0.11259272613927873,0.3923331160524966,31.166666666666668
2020-04-01,v2_statistical,research-v2,"[4, 6, 10, 13, 25, 49]",41,0,0,0,1,[],0.11598962929251168,0.4066491862643498,29.833333333333332
2020-04-04,random,research-v2,"[19, 29, 34, 35, 44, 45]",10,0,0,0,2,[],0.10745522702889312,0.371776180130221,29.666666666666668
2020-04-04,ema_gap,research-v2,"[19, 29, 34, 35, 44, 45]",10,1,1,1,2,[45],0.10968129533356762,0.382372459641801,26.0
2020-04-04,v2_statistical,research-v2,"[19, 29, 34, 35, 44, 45]",10,1,1,1,1,[45],0.10736993649641813,0.38033024206086946,25.666666666666668
2020-04-08,random,research-v2,"[9, 13, 21, 23, 30, 32]",15,1,1,2,3,[30],0.1074552269525928,0.3717761797751879,21.0
2020-04-08,ema_gap,research-v2,"[9, 13, 21, 23, 30, 32]",15,0,0,2,3,[],0.10779517343164204,0.37255172887952626,22.0
2020-04-08,v2_statistical,research-v2,"[9, 13, 21, 23, 30, 32]",15,0,0,0,2,[],0.11422176848151087,0.3984121813002142,29.0
2020-04-11,random,research-v2,"[10, 13, 17, 32, 35, 42]",26,1,1,4,5,[17],0.10745522688302643,0.3717761794514885,13.333333333333334
2020-04-11,ema_gap,research-v2,"[10, 13, 17, 32, 35, 42]",26,0,0,1,1,[],0.11210829995937611,0.39558222124783626,30.833333333333332
2020-04-11,v2_statistical,research-v2,"[10, 13, 17, 32, 35, 42]",26,0,0,0,0,[],0.11828618036565144,0.4215549705559381,33.666666666666664
2020-04-15,random,research-v2,"[1, 3, 7, 13, 22, 47]",30,1,1,1,1,[3],0.10745522694967699,0.37177617976162053,21.833333333333332
2020-04-15,ema_gap,research-v2,"[1, 3, 7, 13, 22, 47]",30,1,1,1,1,[13],0.11017029458662007,0.38428902396632225,28.666666666666668
2020-04-15,v2_statistical,research-v2,"[1, 3, 7, 13, 22, 47]",30,0,0,1,1,[],0.11482018574914878,0.40545293185756676,29.166666666666668
2020-04-18,random,research-v2,"[1, 10, 23, 32, 46, 48]",36,1,1,1,1,[32],0.10745522700385488,0.37177618001371543,26.833333333333332
2020-04-18,ema_gap,research-v2,"[1, 10, 23, 32, 46, 48]",36,1,1,1,3,[23],0.10552087598045837,0.3600799201410956,17.833333333333332
2020-04-18,v2_statistical,research-v2,"[1, 10, 23, 32, 46, 48]",36,1,1,2,2,[23],0.1083112429686631,0.37012173155161987,21.166666666666668
2020-04-22,random,research-v2,"[9, 10, 11, 14, 15, 28]",36,0,0,0,1,[],0.10745522705985829,0.37177618027430515,33.666666666666664
2020-04-22,ema_gap,research-v2,"[9, 10, 11, 14, 15, 28]",36,0,0,1,1,[],0.11486696299160945,0.40844477235905174,37.0
2020-04-22,v2_statistical,research-v2,"[9, 10, 11, 14, 15, 28]",36,0,0,1,1,[],0.11973526045534828,0.4405705212151321,38.5
2020-04-25,random,research-v2,"[6, 10, 11, 22, 32, 48]",17,1,1,1,1,[6],0.10745522704180838,0.371776180190317,29.666666666666668
2020-04-25,ema_gap,research-v2,"[6, 10, 11, 22, 32, 48]",17,1,1,3,3,[10],0.1051363793588272,0.36069634721996585,19.5
2020-04-25,v2_statistical,research-v2,"[6, 10, 11, 22, 32, 48]",17,1,1,2,2,[48],0.1103789921505849,0.3829195777036131,24.5
