target_draw_date,model_name,model_version,actual,bonus,final_6_hits,top_6_hits,top_12_hits,top_18_hits,matched_final,brier_score,log_loss,mean_actual_rank
2020-02-01,random,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,0,0,0,1,[],0.10745522698875466,0.3717761799434531,33.666666666666664
2020-02-01,long_frequency,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,2,2,2,3,"[40, 45]",0.10707364556394376,0.3700874740820487,23.0
2020-02-01,recent_frequency,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,1,1,3,3,[21],0.10649095876718034,0.367438314484956,21.166666666666668
2020-02-01,ema_gap,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,2,2,2,3,"[45, 48]",0.10725815209271172,0.3729364038558724,24.333333333333332
2020-02-01,logistic,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,1,1,1,2,[48],0.1075710460227026,0.3720369281256608,27.0
2020-02-01,ensemble,v1.0.0,"[13, 21, 35, 40, 45, 48]",47,2,2,2,3,"[45, 48]",0.10691931899649304,0.36962094131374235,23.833333333333332
2020-02-08,random,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,0,0,1,1,[],0.10745522698875466,0.37177617994345313,31.5
2020-02-08,long_frequency,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,1,1,2,2,[43],0.10759076831055019,0.37238662606113265,27.5
2020-02-08,recent_frequency,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,1,1,2,2,[43],0.10575626488962933,0.36360408710455655,19.5
2020-02-08,ema_gap,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,1,1,3,4,[43],0.1053788006092722,0.3599374153008431,17.666666666666668
2020-02-08,logistic,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,3,3,3,4,"[30, 41, 43]",0.10412573085972222,0.35722036428418735,14.166666666666666
2020-02-08,ensemble,v1.0.0,"[8, 28, 30, 39, 41, 43]",45,2,2,3,3,"[30, 43]",0.10501381519144325,0.3608018335217734,16.333333333333332
2020-02-12,random,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,0,0,0,1,[],0.10745522698875466,0.37177617994345324,29.333333333333332
2020-02-12,long_frequency,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,1,1,2,4,[20],0.10700738830917521,0.3696552821312099,19.0
2020-02-12,recent_frequency,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,0,0,1,2,[],0.10822140774677218,0.37462940076370493,26.5
2020-02-12,ema_gap,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,0,0,2,3,[],0.10813760708939053,0.37213127477462127,22.0
2020-02-12,logistic,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,1,1,4,4,[36],0.1057015117363683,0.3632524122224612,14.0
2020-02-12,ensemble,v1.0.0,"[16, 20, 24, 33, 36, 47]",4,0,0,2,3,[],0.106596548008775,0.36749029883345175,16.666666666666668
2020-02-15,random,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,3,3,[],0.10745522698875466,0.37177617994345336,17.666666666666668
2020-02-15,long_frequency,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,1,2,[],0.10754465349395746,0.3721328483945671,24.333333333333332
2020-02-15,recent_frequency,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,0,0,[],0.1116338159100375,0.39193099316724345,35.333333333333336
2020-02-15,ema_gap,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,1,2,[],0.1109936548196193,0.38800547947240716,29.333333333333332
2020-02-15,logistic,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,0,1,[],0.10870253706312094,0.37718862021430083,29.833333333333332
2020-02-15,ensemble,v1.0.0,"[7, 8, 11, 23, 27, 30]",3,0,0,0,0,[],0.1092450414907417,0.38017415671454297,35.166666666666664
2020-02-19,random,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,2,2,2,3,"[5, 6]",0.10745522698875466,0.37177617994345336,23.333333333333332
2020-02-19,long_frequency,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,0,0,0,2,[],0.10809169784020928,0.3747219071169547,30.333333333333332
2020-02-19,recent_frequency,v1.0.0,"[5, 6, 13, 23, 44, 49]",40,0,0,0,2,[],0.10867006080799667,0.3768816220974434,27.0
